"FIPS","Name of Area","Qualifying Name","State","County","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population"
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004
"01001","Autauga County","Autauga County, Alabama ","01","001",29,809,13,50.48834,456.4,7.82402
"04001","Apache County","Apache County, Arizona","04","001",66,1099,13,73.82881,535,5.991971
"05001","Arkansas County","Arkansas County, Arkansas","05","001",16,322,,91.12136,490.6,
"06001","Alameda County","Alameda County, California","06","001",521,12315,473,38.0772,256.3,9.969371
"08001","Adams County","Adams County, Colorado","08","001",220,4159,274,42.69871,337.8,19.439393
"09001","Fairfield County","Fairfield County, Connecticut ","09","001",317,6679,299,35.14186,223.5,10.605932
"10001","Kent County","Kent County, Delaware","10","001",84,2072,105,51.98663,379,20.627508
"11001","District of Columbia County","District of Columbia County, District of Columbia ","11","001",383,7213,275,89.67392,394.6,14.19234
"12001","Alachua County","Alachua County, Florida ","12","001",134,2345,65,75.3283,329.8,8.53861
"13001","Appling County","Appling County, Georgia ","13","001",15,319,,80.51098,514.8,
"15001","Hawaii County","Hawaii County, Hawaii ","15","001",86,2138,63,50.96115,315.3,10.971749
"16001","Ada County","Ada County, Idaho ","16","001",153,3204,168,36.47964,259.9,13.421092
"17001","Adams County","Adams County, Illinois ","17","001",24,779,23,39.18048,337.4,11.424881
"18001","Adams County","Adams County, Indiana ","18","001",41,347,,96.26221,331.2,
"19001","Adair County","Adair County, Iowa ","19","001",,102,,,365.8,
"20001","Allen County","Allen County, Kansas ","20","001",,231,13,,525,33.03517
"21001","Adair County","Adair County, Kentucky ","21","001",12,277,10,72.93946,423.4,17.664412
"22001","Acadia Parish","Acadia Parish, Louisiana ","22","001",55,1013,20,81.91228,526.2,10.717999
"23001","Androscoggin County","Androscoggin County, Maine ","23","001",72,1315,46,75.02266,361.7,14.256802
"24001","Allegany County","Allegany County, Maryland ","24","001",27,1001,40,51.32592,377.7,18.141824
"25001","Barnstable County","Barnstable County, Massachusetts ","25","001",43,2492,127,29.8435,270.1,19.679945
"26001","Alcona County","Alcona County, Michigan ","26","001",,247,,,401.4,
"27001","Aitkin County","Aitkin County, Minnesota ","27","001",,233,11,,304.4,23.187184
"28001","Adams County","Adams County, Mississippi ","28","001",29,609,,103.30579,544.8,
"29001","Adair County","Adair County, Missouri ","29","001",10,259,13,52.12134,357.8,16.937007
"30001","Beaverhead County","Beaverhead County, Montana ","30","001",,99,,,276.9,
"31001","Adams County","Adams County, Nebraska ","31","001",13,300,,43.58613,289.3,
"32001","Churchill County","Churchill County, Nevada ","32","001",18,366,18,74.86587,414.9,24.85261
"33001","Belknap County","Belknap County, New Hampshire ","33","001",14,679,26,28.80421,283.4,14.379656
"34001","Atlantic County","Atlantic County, New Jersey ","34","001",157,3436,204,62.42148,368,24.682605
"35001","Bernalillo County","Bernalillo County, New Mexico ","35","001",317,7025,543,50.00229,332.7,26.838247
"36001","Albany County","Albany County, New York ","36","001",139,3013,101,58.71048,304.1,10.971451
"37001","Alamance County","Alamance County, North Carolina ","37","001",82,1982,61,57.73062,388.1,13.144002
"38001","Adams County","Adams County, North Dakota ","38","001",,31,,,324.2,
"39001","Adams County","Adams County, Ohio ","39","001",23,479,28,82.23684,489,33.103187
"40001","Adair County","Adair County, Oklahoma ","40","001",26,377,15,105.34846,519.8,22.500225
"41001","Baker County","Baker County, Oregon ","41","001",,238,,,333.5,
"42001","Adams County","Adams County, Pennsylvania ","42","001",33,1066,24,37.72032,291.2,7.875514
"44001","Bristol County","Bristol County, Rhode Island ","44","001",,377,24,,208.4,16.279575
"45001","Abbeville County","Abbeville County, South Carolina ","45","001",22,375,,98.09604,414.5,
"47001","Anderson County","Anderson County, Tennessee ","47","001",43,1227,62,66.6584,448.1,27.37476
"48001","Anderson County","Anderson County, Texas ","48","001",29,1048,19,64.00636,544.3,10.934937
"49001","Beaver County","Beaver County, Utah ","49","001",10,68,,115.78094,347,
"50001","Addison County","Addison County, Vermont ","50","001",,351,13,,266.7,11.759917
"51001","Accomack County","Accomack County, Virginia ","51","001",28,619,16,99.77906,481.5,16.078786
"53001","Adams County","Adams County, Washington ","53","001",11,145,,41.41878,289.3,
"54001","Barbour County","Barbour County, West Virginia ","54","001",,266,,,440.5,
"55001","Adams County","Adams County, Wisconsin","55","001",,355,10,,380.5,16.293544
"56001","Albany County","Albany County, Wyoming","56","001",13,258,18,53.82131,279,15.99872
"01003","Baldwin County","Baldwin County, Alabama ","01","003",88,2506,94,51.34249,356,16.028893
"04003","Cochise County","Cochise County, Arizona","04","003",68,1696,58,57.01159,351.8,14.909681
"05003","Ashley County","Ashley County, Arkansas","05","003",12,388,,57.75895,503.5,
"06003","Alpine County","Alpine County, California","06","003",,,,,,
"08003","Alamosa County","Alamosa County, Colorado","08","003",,192,15,,410.4,30.878175
"09003","Hartford County","Hartford County, Connecticut ","09","003",335,8336,428,41.83724,282,15.890011
"10003","New Castle County","New Castle County, Delaware","10","003",329,5939,289,66.41715,343.2,17.530685
"12003","Baker County","Baker County, Florida ","12","003",24,386,16,86.7146,448.1,19.706375
"13003","Atkinson County","Atkinson County, Georgia ","13","003",,139,,,551.3,
"15003","Honolulu County","Honolulu County, Hawaii ","15","003",471,8440,317,55.69028,271.2,10.739978
"16003","Adams County","Adams County, Idaho ","16","003",,41,,,237.2,
"17003","Alexander County","Alexander County, Illinois ","17","003",,135,,,463.2,
"18003","Allen County","Allen County, Indiana ","18","003",207,3835,151,53.98118,349.1,13.861553
"19003","Adams County","Adams County, Iowa ","19","003",,56,,,359.5,
"20003","Anderson County","Anderson County, Kansas ","20","003",,105,,,388.3,
"21003","Allen County","Allen County, Kentucky ","21","003",14,323,11,72.28418,459,18.060915
